Respondent,Timestamp,Which track do you participate in?,How Often Do You Participate,Question,Answer,Numeric Answer
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),Mapping,3
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),Table Calcs,2
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),LODs,1
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Agree,4
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Disagree,2
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Neither Agree nor Disagree,3
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,Agree,4
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10013,2021/07/28 3:25:18 AM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Extremely Unlikely,
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,What else do you want us to know?,"I've learned so much from the challenges, so thank you!",
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,I want more cross-over with other software and/or platforms,Disagree,2
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),,7
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Power Query,6
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Unusual Chart Types,5
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Extensions,4
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Mapping,3
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,I enjoy learning about new features,Strongly Agree,5
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,The challenges are too easy,Disagree,2
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,The challenges are too difficult,Neither Agree nor Disagree,3
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,The challenges help me at work/school,Agree,4
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,Which track do you participate in?,Both,
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,7,7
10014,2021/07/28 3:28:22 AM MDT,Both,Some of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Less Likely,
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,What else do you want us to know?,#WOW is great - keep up the good work :),
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,I would be more likely to participate in WOW challenges if they were,Weekly,
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,I want more cross-over with other software and/or platforms,Disagree,2
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Power Query,7
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Containers,6
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Unusual Chart Types,5
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Mapping,4
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),LODs,3
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Table Calcs,2
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Extensions,1
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,I enjoy learning about new features,Agree,4
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,The challenges are too easy,Neither Agree nor Disagree,3
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,The challenges are too difficult,Neither Agree nor Disagree,3
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,The challenges help me at work/school,Agree,4
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,How Often Do You Participate,Most of the Challenges,
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,Which track do you participate in?,Tableau,
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,8,8
10015,2021/07/28 3:34:16 AM MDT,Tableau,Most of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Extremely Unlikely,
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,,
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),Mapping,7
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),LODs,6
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Power Query,5
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),Unusual Chart Types,4
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),Table Calcs,3
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),Extensions,2
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),Containers,1
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Agree,4
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Disagree,2
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Neither Agree nor Disagree,3
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,Agree,4
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10016,2021/07/28 3:35:27 AM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,What else do you want us to know?,"I really love the challenges like 'how much does the maximum product contribute to each sub-category' etc. It's really useful stuff to learn. I must admit, sometimes i'm not very interested in creating a hacky workbook using map layers etc. improving Table Calcs, Containers, and LODs are definitely the top 3 for me - by a margin. Containers are so important, as is general formatting. I love the nice tooltips that are made in some of the challenges, that's a really cool feature! ",
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,I want more cross-over with other software and/or platforms,Agree,4
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Mapping,7
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Unusual Chart Types,6
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Extensions,5
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Power Query,4
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Containers,3
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,I enjoy learning about new features,Disagree,2
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,The challenges are too easy,Strongly Disagree,1
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,The challenges are too difficult,Neither Agree nor Disagree,3
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,The challenges help me at work/school,Agree,4
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,Which track do you participate in?,Tableau,
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,6,6
10017,2021/07/28 3:49:32 AM MDT,Tableau,Some of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,What else do you want us to know?,"they are great practice for learning, thanks for the work setting them up",
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,I want more cross-over with other software and/or platforms,Disagree,2
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (7th),Unusual Chart Types,7
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (6th),Power Query,6
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (5th),Containers,5
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (4th),LODs,4
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (3rd),Extensions,3
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (2nd),Mapping,2
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,I enjoy learning about new features,Strongly Agree,5
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,The challenges are too easy,Disagree,2
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,The challenges are too difficult,Disagree,2
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,The challenges help me at work/school,Strongly Agree,5
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,How Often Do You Participate,Every Once in Awhile,
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,Which track do you participate in?,Tableau,
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10018,2021/07/28 4:11:14 AM MDT,Tableau,Every Once in Awhile,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Extremely Unlikely,
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,What else do you want us to know?,,
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Mapping,7
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Unusual Chart Types,6
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Containers,5
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Power Query,4
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Extensions,3
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),LODs,2
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Table Calcs,1
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,I enjoy learning about new features,Strongly Agree,5
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,The challenges are too easy,Strongly Disagree,1
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,The challenges are too difficult,Agree,4
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,The challenges help me at work/school,Strongly Agree,5
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,Which track do you participate in?,Tableau,
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10019,2021/07/28 4:40:50 AM MDT,Tableau,Some of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,What else do you want us to know?,"I'd like to participate in challenges that are business-related and not just fun projects. I'd love to see challenges in different industries, such as logistics, accounting, human resources, manufacturing, marketing, etc. 

I see that the participation is declining, but please keep making these challenges. Thanks and keep up the great work. 😗",
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,I would be more likely to participate in WOW challenges if they were,Weekly,
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (7th),LODs,7
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Containers,6
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Extensions,5
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Power Query,4
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Table Calcs,3
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Mapping,2
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Unusual Chart Types,1
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,I enjoy learning about new features,Strongly Agree,5
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,The challenges are too easy,Agree,4
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,The challenges are too difficult,Disagree,2
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,The challenges help me at work/school,Agree,4
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,How Often Do You Participate,Most of the Challenges,
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,Which track do you participate in?,PBI,
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10020,2021/07/28 5:13:23 AM MDT,PBI,Most of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Neutral,
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,What else do you want us to know?,,
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Monthly,
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Power Query,7
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Extensions,6
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Mapping,5
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Unusual Chart Types,4
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),LODs,3
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Table Calcs,2
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Containers,1
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,I enjoy learning about new features,Disagree,2
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,The challenges are too easy,Disagree,2
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,The challenges are too difficult,Agree,4
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,The challenges help me at work/school,Disagree,2
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,Which track do you participate in?,Tableau,
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,3,3
10021,2021/07/28 7:44:00 AM MDT,Tableau,Some of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Less Likely,
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,What else do you want us to know?,,
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,I want more cross-over with other software and/or platforms,Strongly Agree,5
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Table Calcs,7
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),LODs,6
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Table Calcs,5
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),Unusual Chart Types,4
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Table Calcs,3
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Mapping,2
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Extensions,1
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,I enjoy learning about new features,Strongly Agree,5
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,The challenges are too easy,Agree,4
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,The challenges are too difficult,Strongly Agree,5
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,The challenges help me at work/school,Strongly Agree,5
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,Which track do you participate in?,Tableau,
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10022,2021/07/28 8:10:44 AM MDT,Tableau,Some of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Neutral,
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,What else do you want us to know?,,
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Containers,7
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Power Query,6
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Extensions,5
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),LODs,4
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Table Calcs,3
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Mapping,2
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Unusual Chart Types,1
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,I enjoy learning about new features,Strongly Agree,5
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,The challenges are too easy,Neither Agree nor Disagree,3
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,The challenges are too difficult,Neither Agree nor Disagree,3
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,The challenges help me at work/school,Strongly Agree,5
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,Which track do you participate in?,Tableau,
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,8,8
10023,2021/07/28 9:16:50 AM MDT,Tableau,Some of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,Neutral,
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,What else do you want us to know?,,
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,I would be more likely to participate in WOW challenges if they were,Bi-Weekly,
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,I want more cross-over with other software and/or platforms,Disagree,2
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,What do you want more of?  (Rank Your Choices) (7th),Unusual Chart Types,7
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,What do you want more of?  (Rank Your Choices) (6th),Containers,6
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,What do you want more of?  (Rank Your Choices) (5th),Extensions,5
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,What do you want more of?  (Rank Your Choices) (4th),LODs,4
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,What do you want more of?  (Rank Your Choices) (3rd),Table Calcs,3
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,What do you want more of?  (Rank Your Choices) (2nd),Mapping,2
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,What do you want more of?  (Rank Your Choices) (1st),Power Query,1
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,I enjoy learning about new features,Strongly Agree,5
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,The challenges are too easy,Disagree,2
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,The challenges are too difficult,Neither Agree nor Disagree,3
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,The challenges help me at work/school,Strongly Agree,5
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,How Often Do You Participate,Some of the Challenges,
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,Which track do you participate in?,PBI,
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,How likely are you to recommend #WOW to friends or colleagues that are or aspire to be data practitioners?,10,10
10024,2021/07/28 9:29:41 AM MDT,PBI,Some of the Challenges,Having Tableau and Power BI WOW challenges launch in the same week makes it more likely I will complete both,N/A,3
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,What else do you want us to know?,Having PowerBI solution files available for download (similar to the file being available on Tableau public) would be helpful as that allows you to see what's going on in a file if you get stuck without having to wait for a solution video. The challenges are really useful and interesting and much appreciated!,
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,I would be more likely to participate in WOW challenges if they were,Doesn't Matter,
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,I want more cross-over with other software and/or platforms,Neither Agree nor Disagree,3
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (7th),Containers,7
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (6th),Extensions,6
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (5th),Mapping,5
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (4th),LODs,4
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (3rd),Table Calcs,3
10025,2021/07/28 9:35:17 AM MDT,PBI,Every challenge,What do you want more of?  (Rank Your Choices) (2nd),Unusual Chart Types,2
